año,consumo_por_mil_hab
2007,19.4
2008,20.3
2009,22.7
2010,23.4
2011,24.6
2012,24.7
2013,25.1
2014,24.9
2015,26
2016,26.7
2017,27
2018,27.9
2019,28.6
2020,23.6
2021,27.8
2022,28.9
