año,produccion
2007,87926.4
2008,85637.5
2009,89523.1
2010,90190.4
2011,96959
2012,96092
2013,100662.5
2014,99899
2015,106699.7
2016,108719.3
2017,130835.3
2018,138318.6
2019,141510
2020,137229.3
2021,143595.3
2022,133781.7
