departamento,año,unidad,valor
Madre de Dios,1993,distritos,9
Madre de Dios,2005,provincias,3
Madre de Dios,2005,distritos,11
Madre de Dios,2007,provincias,3
Madre de Dios,2007,distritos,11
Madre de Dios,2017,provincias,3
Madre de Dios,2017,distritos,11
Moquegua,1940,provincias,2
Moquegua,1940,distritos,9
Moquegua,1961,provincias,2
Moquegua,1961,distritos,16
Moquegua,1972,provincias,3
Moquegua,1972,distritos,19
Moquegua,1981,provincias,3
Moquegua,1981,distritos,20
Moquegua,1993,provincias,3
Moquegua,1993,distritos,20
Moquegua,2005,provincias,3
Moquegua,2005,distritos,20
Moquegua,2007,provincias,3
Moquegua,2007,distritos,20
Moquegua,2017,provincias,3
Moquegua,2017,distritos,20
Pasco,1961,provincias,3
Pasco,1961,distritos,25
Pasco,1972,provincias,3
Pasco,1972,distritos,27
Pasco,1981,provincias,3
Pasco,1981,distritos,27
Pasco,1993,provincias,3
Pasco,1993,distritos,28
Pasco,2005,provincias,3
Pasco,2005,distritos,28
Pasco,2007,provincias,3
Pasco,2007,distritos,28
Pasco,2017,provincias,3
Pasco,2017,distritos,29
Piura,1940,provincias,6
Piura,1940,distritos,39
Piura,1961,provincias,7
Piura,1961,distritos,49
Piura,1972,provincias,7
Piura,1972,distritos,61
Piura,1981,provincias,7
Piura,1981,distritos,61
Piura,1993,provincias,7
Piura,1993,distritos,64
Piura,2005,provincias,8
Piura,2005,distritos,64
Piura,2007,provincias,8
Piura,2007,distritos,64
Piura,2017,provincias,8
Piura,2017,distritos,65
Puno,1940,provincias,9
Puno,1940,distritos,83
Puno,1961,provincias,9
Puno,1961,distritos,89
Puno,1972,provincias,9
Puno,1972,distritos,95
Puno,1981,provincias,9
Puno,1981,distritos,95
Puno,1993,provincias,13
Puno,1993,distritos,106
Puno,2005,provincias,13
Puno,2005,distritos,109
Puno,2007,provincias,13
Puno,2007,distritos,109
Puno,2017,provincias,13
Puno,2017,distritos,110
San Martín,1940,provincias,6
San Martín,1940,distritos,35
San Martín,1961,provincias,6
San Martín,1961,distritos,53
San Martín,1972,provincias,6
San Martín,1972,distritos,69
San Martín,1981,provincias,6
San Martín,1981,distritos,69
San Martín,1993,provincias,10
San Martín,1993,distritos,77
San Martín,2005,provincias,10
San Martín,2005,distritos,77
San Martín,2007,provincias,10
San Martín,2007,distritos,77
San Martín,2017,provincias,10
San Martín,2017,distritos,77
Tacna,1940,provincias,2
Tacna,1940,distritos,12
Tacna,1961,provincias,2
Tacna,1961,distritos,22
Tacna,1972,provincias,2
Tacna,1972,distritos,23
Tacna,1981,provincias,2
Tacna,1981,distritos,23
Tacna,1993,provincias,4
Tacna,1993,distritos,26
Tacna,2005,provincias,4
Tacna,2005,distritos,27
Tacna,2007,provincias,4
Tacna,2007,distritos,27
Tacna,2017,provincias,4
Tacna,2017,distritos,28
Tumbes,1940,provincias,1
Tumbes,1940,distritos,5
Tumbes,1961,provincias,3
Tumbes,1961,distritos,9
Tumbes,1972,provincias,3
Tumbes,1972,distritos,11
Tumbes,1981,provincias,3
Tumbes,1981,distritos,11
Tumbes,1993,provincias,3
Tumbes,1993,distritos,12
Tumbes,2005,provincias,3
Tumbes,2005,distritos,12
Tumbes,2007,provincias,3
Tumbes,2007,distritos,13
Tumbes,2017,provincias,3
Tumbes,2017,distritos,13
Ucayali,1981,provincias,2
Ucayali,1981,distritos,15
Ucayali,1993,provincias,4
Ucayali,1993,distritos,12
Ucayali,2005,provincias,4
Ucayali,2005,distritos,14
Ucayali,2007,provincias,4
Ucayali,2007,distritos,15
Ucayali,2017,provincias,4
Ucayali,2017,distritos,17
Áncash,1940,provincias,10
Áncash,1940,distritos,102
Áncash,1961,provincias,15
Áncash,1961,distritos,142
Áncash,1972,provincias,16
Áncash,1972,distritos,154
Áncash,1981,provincias,16
Áncash,1981,distritos,154
Áncash,1993,provincias,20
Áncash,1993,distritos,165
Áncash,2005,provincias,20
Áncash,2005,distritos,166
Áncash,2007,provincias,20
Áncash,2007,distritos,166
Áncash,2017,provincias,20
Áncash,2017,distritos,166
Amazonas,1940,provincias,4
Amazonas,1940,distritos,56
Amazonas,1961,provincias,5
Amazonas,1961,distritos,74
