departamento,superficie,hectareas,año
Tacna,Superficie no agrícola,126241,2021
Tacna,Superficie agropecuaria,214201,2022
Tacna,Superficie agrícola,68954,2022
Tacna,Superficie no agrícola,145247,2022
Tumbes,Superficie agropecuaria,25789,2021
Tumbes,Superficie agrícola,23818,2021
Tumbes,Superficie no agrícola,1972,2021
Tumbes,Superficie agropecuaria,25898,2022
Tumbes,Superficie agrícola,23047,2022
Tumbes,Superficie no agrícola,2852,2022
Ucayali,Superficie agropecuaria,486159,2021
Ucayali,Superficie agrícola,332902,2021
Ucayali,Superficie no agrícola,153257,2021
Ucayali,Superficie agropecuaria,531650,2022
Ucayali,Superficie agrícola,287686,2022
Ucayali,Superficie no agrícola,243964,2022
