departamento,tipo,municipalidades,año
Pasco,Distritos con elementos contaminantes,29,2023
Piura,Municipalidades Informantes,65,2021
Piura,Distritos con elementos contaminantes,64,2021
Piura,Municipalidades Informantes,65,2022
Piura,Distritos con elementos contaminantes,64,2022
Piura,Municipalidades Informantes,65,2023
Piura,Distritos con elementos contaminantes,64,2023
Puno,Municipalidades Informantes,110,2021
Puno,Distritos con elementos contaminantes,101,2021
Puno,Municipalidades Informantes,110,2022
Puno,Distritos con elementos contaminantes,105,2022
Puno,Municipalidades Informantes,110,2023
Puno,Distritos con elementos contaminantes,102,2023
San Martín,Municipalidades Informantes,77,2021
San Martín,Distritos con elementos contaminantes,74,2021
San Martín,Municipalidades Informantes,77,2022
San Martín,Distritos con elementos contaminantes,73,2022
San Martín,Municipalidades Informantes,78,2023
San Martín,Distritos con elementos contaminantes,77,2023
Tacna,Municipalidades Informantes,28,2021
Tacna,Distritos con elementos contaminantes,25,2021
Tacna,Municipalidades Informantes,28,2022
Tacna,Distritos con elementos contaminantes,28,2022
Tacna,Municipalidades Informantes,28,2023
Tacna,Distritos con elementos contaminantes,23,2023
Tumbes,Municipalidades Informantes,13,2021
Tumbes,Distritos con elementos contaminantes,13,2021
Tumbes,Municipalidades Informantes,13,2022
Tumbes,Distritos con elementos contaminantes,13,2022
Tumbes,Municipalidades Informantes,13,2023
Tumbes,Distritos con elementos contaminantes,10,2023
Ucayali,Municipalidades Informantes,17,2021
Ucayali,Distritos con elementos contaminantes,17,2021
Ucayali,Municipalidades Informantes,17,2022
Ucayali,Distritos con elementos contaminantes,17,2022
Ucayali,Municipalidades Informantes,19,2023
Ucayali,Distritos con elementos contaminantes,19,2023
